Location,Account,Energy Utilisation (%),Time Utilisation (%),Net Rev Exc. VAT/port/day,Energy Throughput/port/day (kWh),GHG Avoided/port/day (kg),Emission-Free Miles/port/day,Equiv. Trees for 10y/port/day,Sessions/port/day,Charging Time (avg),Dwell Time (avg),Overstay Time (avg),Latitude,Longitude,Postcode,Number of Ports,Charger Type,Venue Type,,,,,,,,,,,,,,,,,,
KINGSTOWN,Greene King,1.40%,2.64%,1.698,3.666,3.270,12.098,0.084,0.192,01:53:48,03:16:28,01:22:40,53.741272,-0.218177883,HU12 8DJ,8,AC,Pub,,,,,,,,,,,,,,,,,,
LIGHTHOUSE,Greene King,1.69%,2.88%,2.056,4.420,3.943,14.586,0.101,0.244,02:02:55,02:48:45,00:45:50,53.4270895,-3.0662533,CH45 3LP,4,AC,Pub,,,,,,,,,,,,,,,,,,
LORD NELSON,Greene King,4.45%,8.23%,5.295,11.660,10.401,38.479,0.267,0.429,02:38:55,04:34:22,01:55:26,51.58999362,-1.410728762,OX12 8HL,2,AC,Pub,,,,,,,,,,,,,,,,,,
LRD GASCOIGNE,Greene King,0.23%,0.25%,0.290,0.594,0.529,1.959,0.014,0.052,01:05:31,01:07:39,00:02:08,53.79657688,-1.385600116,LS25 1PZ,4,AC,Pub,,,,,,,,,,,,,,,,,,
LULLINGSTONE,Greene King,4.91%,8.49%,5.799,12.860,11.471,42.438,0.294,0.422,03:34:45,04:47:01,01:12:16,51.39524805,0.177059737,BR8 8BE,6,AC,Pub,,,,,,,,,,,,,,,,,,
MALTSHOVEL,Greene King,1.21%,2.13%,1.330,3.174,2.831,10.475,0.073,0.140,02:02:45,03:37:50,01:35:05,51.12853427,-3.011711532,TA6 7DN,4,AC,Pub,,,,,,,,,,,,,,,,,,
MANOR HOUSE,Greene King,3.84%,6.11%,4.601,10.051,8.965,33.168,0.230,0.408,02:41:43,03:33:52,00:52:08,50.84236518,-1.056468168,PO6 2LJ,4,AC,Pub,,,,,,,,,,,,,,,,,,
MARLOW DONKEY,Greene King,5.45%,12.05%,6.616,14.258,12.718,47.050,0.326,0.539,02:50:55,05:19:27,02:28:32,51.57135246,-0.76925955,SL7 1NW,6,AC,Pub,,,,,,,,,,,,,,,,,,
MARTLETS,Greene King,1.16%,1.50%,1.430,3.042,2.714,10.039,0.070,0.170,01:53:48,02:06:12,00:12:24,50.78591204,-0.696991835,PO21 3AD,6,AC,Pub,,,,,,,,,,,,,,,,,,
MASONS ARMS,Greene King,1.56%,2.04%,1.854,4.073,3.633,13.440,0.093,0.170,02:17:24,02:51:03,00:33:38,53.422137,-1.28170915,S66 1JY,4,AC,Pub,,,,,,,,,,,,,,,,,,
